<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HYUP.US,60,20240417,190000,39.9,39.9255,39.9,39.9255,200,0
HYUP.US,60,20240423,200000,40.45,40.45,40.43,40.43,1300,0
HYUP.US,60,20240429,170000,40.47,40.47,40.44,40.44,2232,0
HYUP.US,60,20240429,210000,40.525,40.525,40.525,40.525,514,0
HYUP.US,60,20240430,180000,40.45,40.45,40.4499,40.4499,300,0
HYUP.US,60,20240501,160000,40.01,40.105,40.01,40.105,920,0
HYUP.US,60,20240501,190000,40.105,40.105,40.105,40.105,166,0
HYUP.US,60,20240501,210000,40.32,40.32,40.32,40.32,100,0
HYUP.US,60,20240502,170000,40.3,40.3,40.3,40.3,199,0
HYUP.US,60,20240507,180000,40.71,40.71,40.71,40.71,100,0
HYUP.US,60,20240507,190000,40.685,40.685,40.66,40.66,352,0
HYUP.US,60,20240508,170000,40.64,40.64,40.6399,40.6399,268,0
HYUP.US,60,20240509,220000,40.56,40.59,40.56,40.59,200,0
HYUP.US,60,20240510,160000,40.59,40.59,40.59,40.59,197,0
HYUP.US,60,20240510,180000,40.5,40.5,40.5,40.5,164,0
HYUP.US,60,20240517,160000,40.69,40.69,40.69,40.69,135,0
HYUP.US,60,20240520,220000,40.7399,40.7399,40.64,40.64,1351,0
HYUP.US,60,20240521,180000,40.75,40.75,40.75,40.75,100,0
HYUP.US,60,20240521,190000,40.7699,40.7699,40.7699,40.7699,100,0
HYUP.US,60,20240523,180000,40.56,40.56,40.56,40.56,102,0
HYUP.US,60,20240523,220000,40.5029,40.5029,40.5029,40.5029,105,0
HYUP.US,60,20240530,170000,40.36,40.4794,40.36,40.4794,677,0
HYUP.US,60,20240607,160000,40.48,40.48,40.48,40.48,100,0
HYUP.US,60,20240607,200000,40.4865,40.4865,40.4865,40.4865,130,0
HYUP.US,60,20240607,220000,40.44,40.44,40.44,40.44,100,0
HYUP.US,60,20240610,170000,40.49,40.49,40.4899,40.4899,200,0
HYUP.US,60,20240611,220000,40.53,40.53,40.53,40.53,100,0
HYUP.US,60,20240613,190000,40.67,40.67,40.64,40.64,1761,0
HYUP.US,60,20240614,210000,40.53,40.53,40.53,40.53,100,0
HYUP.US,60,20240617,160000,40.5,40.5,40.5,40.5,149,0
HYUP.US,60,20240617,190000,40.5,40.5,40.5,40.5,100,0
HYUP.US,60,20240618,220000,40.67,40.67,40.67,40.67,100,0
HYUP.US,60,20240620,160000,40.66,40.66,40.66,40.66,217,0
HYUP.US,60,20240621,220000,40.58,40.67,40.58,40.67,200,0
HYUP.US,60,20240626,210000,40.62,40.62,40.6199,40.6199,200,0
HYUP.US,60,20240626,220000,40.56,40.56,40.56,40.56,102,0
HYUP.US,60,20240701,210000,40.29,40.29,40.29,40.29,293,0
HYUP.US,60,20240701,220000,40.27,40.27,40.27,40.27,101,0
HYUP.US,60,20240702,160000,40.3012,40.3012,40.3012,40.3012,1318,0
HYUP.US,60,20240702,190000,40.325,40.3591,40.325,40.3591,1494,0
HYUP.US,60,20240705,200000,40.61,40.61,40.61,40.61,100,0
HYUP.US,60,20240708,160000,40.63,40.63,40.63,40.63,249,0
HYUP.US,60,20240708,210000,40.62,40.62,40.62,40.62,100,0
HYUP.US,60,20240709,170000,40.645,40.645,40.645,40.645,134,0
HYUP.US,60,20240709,220000,40.58,40.58,40.58,40.58,100,0
HYUP.US,60,20240710,210000,40.69,40.69,40.6832,40.6832,258,0
HYUP.US,60,20240716,220000,40.69,41.23,40.69,41.23,318,0
HYUP.US,60,20240718,190000,41.03,41.03,41.03,41.03,100,0
HYUP.US,60,20240719,180000,41.0318,41.0318,41.02,41.02,200,0
HYUP.US,60,20240719,220000,41.05,41.05,41.05,41.05,300,0
HYUP.US,60,20240722,180000,41.1901,41.1901,41.1901,41.1901,115,0
HYUP.US,60,20240722,220000,41.19,41.19,41.19,41.19,100,0
HYUP.US,60,20240726,180000,41.2741,41.2741,41.22,41.24,1135,0
HYUP.US,60,20240726,220000,41.23,41.23,41.23,41.23,100,0
HYUP.US,60,20240729,160000,41.3,41.3,41.3,41.3,300,0
HYUP.US,60,20240729,170000,41.2987,41.2987,41.235,41.2432,1700,0
HYUP.US,60,20240729,210000,41.22,41.2201,41.22,41.2201,202,0
HYUP.US,60,20240730,160000,41.3127,41.3127,41.3127,41.3127,1500,0
HYUP.US,60,20240731,210000,41.22,41.41,41.22,41.41,200,0
HYUP.US,60,20240731,220000,41.46,41.46,41.46,41.46,100,0
HYUP.US,60,20240802,200000,40.875,40.875,40.875,40.875,750,0
HYUP.US,60,20240802,220000,40.86,40.86,40.86,40.86,100,0
HYUP.US,60,20240805,180000,40.44,40.44,40.44,40.44,100,0
HYUP.US,60,20240805,220000,40.48,40.48,40.48,40.48,100,0
HYUP.US,60,20240806,180000,40.65,40.65,40.65,40.65,100,0
HYUP.US,60,20240806,190000,40.7245,40.7245,40.7245,40.7245,150,0
HYUP.US,60,20240807,220000,40.8,40.8,40.8,40.8,100,0
HYUP.US,60,20240808,170000,40.98,40.98,40.98,40.98,140,0
HYUP.US,60,20240808,220000,40.94,40.97,40.94,40.97,200,0
HYUP.US,60,20240809,190000,40.93,40.93,40.93,40.93,100,0
HYUP.US,60,20240809,220000,40.95,40.95,40.95,40.95,100,0
HYUP.US,60,20240812,170000,41.06,41.06,41.06,41.06,3312,0
HYUP.US,60,20240812,190000,40.985,40.99,40.985,40.99,470,0
HYUP.US,60,20240813,220000,41.15,41.15,41.15,41.15,100,0
HYUP.US,60,20240814,190000,41.31,41.31,41.31,41.31,100,0
HYUP.US,60,20240815,160000,41.32,41.32,41.32,41.32,309,0
HYUP.US,60,20240815,170000,41.365,41.365,41.365,41.365,420,0
HYUP.US,60,20240816,180000,41.44,41.44,41.43,41.4373,580,0
HYUP.US,60,20240816,190000,41.45,41.45,41.45,41.45,100,0
HYUP.US,60,20240819,180000,41.5601,41.5601,41.5601,41.5601,500,0
HYUP.US,60,20240819,210000,41.59,41.59,41.59,41.59,100,0
HYUP.US,60,20240820,200000,41.5499,41.5499,41.5499,41.5499,180,0
HYUP.US,60,20240820,220000,41.55,41.55,41.55,41.55,100,0
HYUP.US,60,20240821,200000,41.62,41.62,41.62,41.62,100,0
HYUP.US,60,20240828,180000,41.8,41.86,41.8,41.86,200,0
HYUP.US,60,20240829,170000,41.8101,41.8101,41.8101,41.8101,100,0
HYUP.US,60,20240904,220000,41.6,41.6,41.6,41.6,100,0
HYUP.US,60,20240905,190000,41.6809,41.71,41.6809,41.705,320,0
HYUP.US,60,20240905,200000,41.71,41.71,41.71,41.71,100,0
HYUP.US,60,20240906,220000,41.73,41.73,41.73,41.73,100,0
HYUP.US,60,20240909,190000,41.8999,41.8999,41.8999,41.8999,119,0
HYUP.US,60,20240910,160000,41.94,41.94,41.94,41.94,250,0
HYUP.US,60,20240910,170000,41.95,41.95,41.95,41.95,137,0
HYUP.US,60,20240911,200000,41.71,41.71,41.71,41.71,100,0
HYUP.US,60,20240912,190000,41.86,41.86,41.86,41.86,100,0
HYUP.US,60,20240912,210000,41.965,41.965,41.965,41.965,190,0
HYUP.US,60,20240912,220000,41.95,41.95,41.95,41.95,100,0
HYUP.US,60,20240916,190000,42.15,42.15,42.15,42.15,100,0
HYUP.US,60,20240917,160000,42.29,42.29,42.29,42.29,100,0
HYUP.US,60,20240917,170000,42.25,42.25,42.25,42.25,100,0
HYUP.US,60,20240917,210000,42.29,42.29,42.28,42.28,200,0
HYUP.US,60,20240919,180000,42.5,42.5,42.5,42.5,100,0
HYUP.US,60,20240919,190000,42.56,42.63,42.56,42.63,3420,0
HYUP.US,60,20240919,200000,42.56,42.63,42.56,42.6,1300,0
HYUP.US,60,20240919,210000,42.59,42.59,42.57,42.57,1498,0
HYUP.US,60,20240919,220000,42.45,42.45,42.45,42.45,700,0
HYUP.US,60,20240920,180000,42.43,42.43,42.43,42.43,100,0
HYUP.US,60,20240920,190000,42.475,42.475,42.475,42.475,124,0
HYUP.US,60,20240920,210000,42.49,42.49,42.49,42.49,200,0
HYUP.US,60,20240923,180000,42.57,42.5899,42.5432,42.5899,840,0
HYUP.US,60,20240923,210000,42.57,42.57,42.57,42.57,100,0
HYUP.US,60,20240926,160000,42.5215,42.5215,42.5215,42.5215,140,0
HYUP.US,60,20240926,200000,42.52,42.52,42.52,42.52,240,0
HYUP.US,60,20240926,210000,42.545,42.545,42.545,42.545,200,0
HYUP.US,60,20241001,200000,42.4,42.4,42.4,42.4,118,0
HYUP.US,60,20241002,170000,42.42,42.42,42.42,42.42,400,0
HYUP.US,60,20241002,200000,42.3612,42.3612,42.3612,42.3612,489,0
HYUP.US,60,20241002,210000,42.46,42.46,42.46,42.46,100,0
HYUP.US,60,20241003,180000,42.42,42.42,42.42,42.42,100,0
HYUP.US,60,20241007,170000,42.29,42.29,42.29,42.29,100,0
HYUP.US,60,20241007,180000,42.3,42.3,42.3,42.3,100,0
HYUP.US,60,20241007,200000,42.255,42.255,42.255,42.255,100,0
HYUP.US,60,20241008,170000,42.215,42.215,42.215,42.215,176,0
HYUP.US,60,20241009,180000,42.256,42.256,42.256,42.256,557,0
HYUP.US,60,20241010,210000,42.27,42.27,42.27,42.27,100,0
HYUP.US,60,20241011,180000,42.3513,42.355,42.27,42.35,2412,0
HYUP.US,60,20241011,190000,42.33,42.33,42.33,42.33,100,0
HYUP.US,60,20241014,220000,42.3678,42.3678,42.3678,42.3678,126,0
HYUP.US,60,20241017,160000,42.4,42.5,42.4,42.5,720,0
HYUP.US,60,20241017,170000,42.395,42.395,42.395,42.395,118,0
HYUP.US,60,20241017,200000,42.36,42.36,42.36,42.36,106,0
HYUP.US,60,20241018,160000,42.42,42.42,42.42,42.42,119,0
HYUP.US,60,20241018,180000,42.4515,42.4515,42.4515,42.4515,100,0
HYUP.US,60,20241021,170000,42.4325,42.4325,42.38,42.38,238,0
HYUP.US,60,20241021,220000,42.39,42.39,42.39,42.39,100,0
HYUP.US,60,20241022,170000,42.3,42.3,42.2762,42.2762,200,0
HYUP.US,60,20241023,160000,42.22,42.22,42.22,42.22,100,0
HYUP.US,60,20241023,170000,42.18,42.18,42.18,42.18,100,0
HYUP.US,60,20241024,180000,42.19,42.1901,42.19,42.1901,238,0
HYUP.US,60,20241024,190000,42.2313,42.2313,42.2313,42.2313,100,0
HYUP.US,60,20241025,220000,42.19,42.19,42.19,42.19,272,0
HYUP.US,60,20241028,160000,42.285,42.285,42.285,42.285,100,0
HYUP.US,60,20241029,200000,42.28,42.2801,42.21,42.2801,1030,0
HYUP.US,60,20241030,160000,42.35,42.3614,42.34,42.34,300,0
HYUP.US,60,20241030,170000,42.281,42.281,42.281,42.281,150,0
HYUP.US,60,20241030,210000,42.26,42.26,42.26,42.26,100,0
HYUP.US,60,20241031,150000,42.1901,42.1901,42.1901,42.1901,106,0
HYUP.US,60,20241031,160000,42.15,42.15,42.15,42.15,100,0
HYUP.US,60,20241031,180000,42.22,42.22,42.22,42.22,123,0
HYUP.US,60,20241104,160000,41.9947,42.06,41.9947,42.06,200,0
HYUP.US,60,20241104,170000,42.05,42.05,42.05,42.05,100,0
HYUP.US,60,20241104,200000,42.06,42.06,42.06,42.06,150,0
HYUP.US,60,20241105,180000,42.05,42.05,42.05,42.05,250,0
HYUP.US,60,20241105,210000,42.02,42.02,42.02,42.02,150,0
HYUP.US,60,20241105,220000,42.04,42.09,42.04,42.09,430,0
HYUP.US,60,20241106,160000,42.1,42.1,42.1,42.1,950,0
HYUP.US,60,20241106,170000,42.13,42.17,42.13,42.17,540,0
HYUP.US,60,20241106,180000,42.1213,42.139,42.05,42.05,500,0
HYUP.US,60,20241107,220000,42.21,42.42,42.14,42.42,570,0
HYUP.US,60,20241108,170000,42.5,42.5081,42.4886,42.5081,300,0
HYUP.US,60,20241108,180000,42.56,42.56,42.56,42.56,175,0
HYUP.US,60,20241111,170000,42.5,42.5,42.5,42.5,117,0
HYUP.US,60,20241111,220000,42.51,42.51,42.51,42.51,100,0
HYUP.US,60,20241112,170000,42.405,42.405,42.405,42.405,225,0
HYUP.US,60,20241112,180000,42.4,42.4,42.4,42.4,187,0
HYUP.US,60,20241113,160000,42.3601,42.3601,42.3,42.3,648,0
HYUP.US,60,20241113,170000,42.352,42.352,42.352,42.352,118,0
HYUP.US,60,20241113,190000,42.36,42.36,42.3401,42.36,430,0
HYUP.US,60,20241114,210000,42.321,42.321,42.321,42.321,100,0
HYUP.US,60,20241114,220000,42.2701,42.2701,42.2701,42.2701,100,0
HYUP.US,60,20241118,160000,42.2496,42.2496,42.2496,42.2496,250,0
HYUP.US,60,20241118,170000,42.28,42.28,42.28,42.28,100,0
HYUP.US,60,20241119,220000,42.3,42.37,42.3,42.37,288,0
HYUP.US,60,20241122,170000,42.40874,42.40874,42.40874,42.40874,206,0
HYUP.US,60,20241122,200000,42.39,42.39,42.39,42.39,117,0
HYUP.US,60,20241122,210000,42.35,42.35,42.3,42.34,5662,0
HYUP.US,60,20241125,160000,42.43,42.4301,42.43,42.4301,400,0
HYUP.US,60,20241125,170000,42.43,42.4899,42.43,42.4899,1565,0
HYUP.US,60,20241125,190000,42.44,42.44,42.42,42.4201,407,0
HYUP.US,60,20241125,200000,42.42,42.42,42.42,42.42,397,0
HYUP.US,60,20241125,220000,42.46,42.4601,42.46,42.46,605,0
HYUP.US,60,20241126,160000,42.43,42.43,42.43,42.43,1000,0
HYUP.US,60,20241126,200000,42.3641,42.3641,42.3641,42.3641,156,0
HYUP.US,60,20241127,160000,42.415,42.415,42.415,42.415,500,0
HYUP.US,60,20241127,190000,42.42,42.43,42.42,42.43,771,0
HYUP.US,60,20241127,200000,42.43,42.43,42.43,42.43,913,0
HYUP.US,60,20241127,210000,42.44,42.46,42.43,42.43,2189,0
HYUP.US,60,20241127,220000,42.435,42.5,42.43,42.5,3100,0
HYUP.US,60,20241129,160000,42.5,42.5,42.5,42.5,327,0
HYUP.US,60,20241202,210000,42.31,42.31,42.31,42.31,108,0
HYUP.US,60,20241202,220000,42.34,42.34,42.34,42.34,100,0
HYUP.US,60,20241203,160000,42.37,42.37,42.36,42.36,6300,0
HYUP.US,60,20241203,180000,42.31,42.31,42.3,42.3,200,0
HYUP.US,60,20241205,170000,42.31,42.3712,42.26,42.3712,1200,0
HYUP.US,60,20241206,200000,42.51,42.51,42.51,42.51,100,0
HYUP.US,60,20241206,220000,42.47,42.47,42.47,42.47,117,0
HYUP.US,60,20241209,170000,42.46,42.46,42.46,42.46,136,0
HYUP.US,60,20241209,200000,42.42,42.42,42.42,42.42,100,0
HYUP.US,60,20241210,180000,42.415,42.415,42.415,42.415,300,0
HYUP.US,60,20241210,200000,42.3987,42.4056,42.3987,42.4056,496,0
HYUP.US,60,20241212,170000,42.4987,42.4987,42.4203,42.4203,600,0
HYUP.US,60,20241212,220000,42.34,42.34,42.34,42.34,100,0
