<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TVA.US,60,20250519,200000,9.99,9.99,9.99,9.99,11000,0
TVA.US,60,20250521,210000,9.98,9.98,9.98,9.98,250000,0
TVA.US,60,20250522,170000,9.98,9.99,9.98,9.99,216200,0
TVA.US,60,20250522,180000,9.9871,9.99,9.9871,9.99,2500,0
TVA.US,60,20250522,190000,9.98,9.98,9.98,9.98,148100,0
TVA.US,60,20250522,200000,9.99,9.99,9.99,9.99,24901,0
TVA.US,60,20250522,210000,9.985,9.985,9.98,9.98,100300,0
TVA.US,60,20250523,160000,9.98,9.98,9.98,9.98,1500,0
TVA.US,60,20250523,190000,9.98,9.98,9.98,9.98,5000,0
TVA.US,60,20250523,220000,9.98,9.99,9.98,9.99,100200,0
TVA.US,60,20250527,200000,9.985,9.985,9.985,9.985,15300,0
TVA.US,60,20250527,210000,9.985,9.985,9.985,9.985,300,0
TVA.US,60,20250527,220000,9.985,9.985,9.985,9.985,14400,0
TVA.US,60,20250528,160000,9.9886,9.9886,9.9886,9.9886,1575,0
TVA.US,60,20250528,180000,9.99,9.99,9.99,9.99,10000,0
TVA.US,60,20250528,200000,9.99,9.99,9.985,9.99,190168,0
TVA.US,60,20250528,210000,9.99,9.99,9.99,9.99,50713,0
TVA.US,60,20250528,220000,9.99,10,9.99,10,3000,0
TVA.US,60,20250529,160000,10,10,10,10,1482,0
TVA.US,60,20250529,180000,10,10,10,10,622,0
TVA.US,60,20250529,220000,9.98,9.98,9.98,9.98,507,0
TVA.US,60,20250530,200000,10,10,9.98,9.99,850100,0
TVA.US,60,20250530,210000,10,10,10,10,53307,0
TVA.US,60,20250530,220000,9.99,10,9.99,10,500,0
TVA.US,60,20250602,160000,10.005,10.005,10.005,10.005,2800,0
TVA.US,60,20250602,190000,10.01,10.01,10.005,10.005,13000,0
TVA.US,60,20250602,210000,10.01,10.01,10.01,10.01,56191,0
TVA.US,60,20250602,220000,10.01,10.01,10.01,10.01,1400,0
TVA.US,60,20250603,160000,10.01,10.04,10.01,10.04,149184,0
TVA.US,60,20250603,170000,10.0308,10.0308,10.0308,10.0308,5000,0
TVA.US,60,20250603,180000,10.035,10.035,10.035,10.035,40000,0
TVA.US,60,20250603,190000,10.04,10.04,10.04,10.04,100,0
TVA.US,60,20250603,200000,10.035,10.035,10.035,10.035,100,0
TVA.US,60,20250604,210000,10.04,10.05,10.04,10.05,37111,0
TVA.US,60,20250604,220000,10.05,10.05,10.05,10.05,199,0
TVA.US,60,20250605,160000,10.05,10.05,10.05,10.05,408,0
TVA.US,60,20250605,220000,10.05,10.05,10.04,10.04,21411,0
