<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CIIT.US,60,20250410,180000,3.3,3.47,2.61,2.61,123862,0
CIIT.US,60,20250410,190000,2.6271,2.88,2.3,2.39,34374,0
CIIT.US,60,20250410,200000,2.4,3,2.36,2.99,30884,0
CIIT.US,60,20250410,210000,2.66,3.12,2.6,2.9554,55800,0
CIIT.US,60,20250410,220000,2.9641,3.101,2.67,2.8,27992,0
CIIT.US,60,20250411,160000,2.661,2.99,2.661,2.9,28881,0
CIIT.US,60,20250411,170000,2.87,2.87,2.6,2.65,7445,0
CIIT.US,60,20250411,180000,2.62,2.63,2.62,2.6243,2856,0
CIIT.US,60,20250411,190000,2.69,2.9,2.69,2.76,10300,0
CIIT.US,60,20250411,200000,2.7378,2.85,2.7,2.85,5057,0
CIIT.US,60,20250411,210000,2.82,2.82,2.82,2.82,1180,0
CIIT.US,60,20250411,220000,2.82,2.8329,2.82,2.8329,4450,0
CIIT.US,60,20250414,160000,2.8496,3.0999,2.71,2.8623,14889,0
CIIT.US,60,20250414,170000,2.8,3.1,2.7795,3.0995,16608,0
CIIT.US,60,20250414,180000,3.1422,3.15,2.901,2.955,6134,0
CIIT.US,60,20250414,190000,2.9346,3,2.92,2.92,13061,0
CIIT.US,60,20250414,200000,2.92,3.1349,2.92,3.0106,30425,0
CIIT.US,60,20250414,210000,3.001,3.001,2.81,2.9,24551,0
CIIT.US,60,20250414,220000,2.9,3.023,2.87,3.023,8585,0
CIIT.US,60,20250415,160000,3,3,2.86,2.86,17934,0
CIIT.US,60,20250415,170000,2.8718,2.8718,2.7243,2.7243,5278,0
CIIT.US,60,20250415,180000,2.7181,2.775,2.71,2.7662,1300,0
CIIT.US,60,20250415,190000,2.7501,2.8,2.75,2.8,4350,0
CIIT.US,60,20250415,200000,2.8,2.8,2.6099,2.68,7755,0
CIIT.US,60,20250415,210000,2.7,2.73,2.6,2.6,17692,0
CIIT.US,60,20250415,220000,2.65,2.85,2.65,2.79,17134,0
CIIT.US,60,20250416,160000,2.6932,2.85,2.6932,2.7394,3560,0
CIIT.US,60,20250416,170000,2.7356,2.7356,2.7356,2.7356,700,0
CIIT.US,60,20250416,180000,2.7539,2.8421,2.7539,2.8421,3000,0
CIIT.US,60,20250416,190000,2.7315,2.8493,2.73,2.8493,1200,0
CIIT.US,60,20250416,200000,2.79,2.8499,2.73,2.77,1370,0
CIIT.US,60,20250416,210000,2.73,2.76,2.7,2.76,1550,0
CIIT.US,60,20250416,220000,2.74,2.7799,2.74,2.7799,2750,0
CIIT.US,60,20250417,170000,2.76,2.76,2.76,2.76,200,0
CIIT.US,60,20250417,180000,2.675,2.675,2.5,2.51,12211,0
CIIT.US,60,20250417,190000,2.51,2.6399,2.43,2.45,17147,0
CIIT.US,60,20250417,200000,2.45,2.6,2.34,2.359,13483,0
CIIT.US,60,20250417,210000,2.32,2.5746,2.225,2.5447,27862,0
CIIT.US,60,20250417,220000,2.5991,2.84,2.575,2.78,33494,0
CIIT.US,60,20250421,160000,2.89,2.89,2.5901,2.7,11310,0
CIIT.US,60,20250421,170000,2.6861,2.75,2.39,2.56,100206,0
CIIT.US,60,20250421,180000,2.56,2.75,2.4501,2.4801,35787,0
CIIT.US,60,20250421,190000,2.6647,2.825,2.45,2.74,67981,0
CIIT.US,60,20250421,200000,2.75,2.8,2.56,2.695,21408,0
CIIT.US,60,20250421,210000,2.611,2.63,2.5,2.63,9216,0
CIIT.US,60,20250421,220000,2.7885,2.8,2.46,2.735,21223,0
CIIT.US,60,20250422,160000,2.9,2.9,2.7,2.74,6105,0
CIIT.US,60,20250422,170000,2.71,2.71,2.55,2.6,11860,0
CIIT.US,60,20250422,180000,2.58,2.7712,2.56,2.58,15618,0
CIIT.US,60,20250422,190000,2.59,2.62,2.59,2.62,600,0
CIIT.US,60,20250422,200000,2.7,2.7,2.7,2.7,300,0
CIIT.US,60,20250422,210000,2.61,2.61,2.61,2.61,3630,0
CIIT.US,60,20250422,220000,2.69,2.75,2.69,2.75,300,0
CIIT.US,60,20250423,170000,2.6023,2.71,2.6,2.71,300,0
CIIT.US,60,20250423,180000,2.6888,2.8,2.6582,2.6582,13250,0
CIIT.US,60,20250423,190000,2.66,2.72,2.66,2.6605,13956,0
CIIT.US,60,20250423,210000,2.7884,2.7884,2.5201,2.62,1900,0
CIIT.US,60,20250423,220000,2.68,2.84,2.68,2.84,153781,0
