<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCSO.US,60,20240411,160000,19.1657,19.1657,19.1657,19.1657,758,0
CCSO.US,60,20240411,170000,19,19.03,19,19.03,783,0
CCSO.US,60,20240411,200000,19.2,19.2,19.2,19.2,894,0
CCSO.US,60,20240412,160000,19.4,19.4,19.16,19.16,1601,0
CCSO.US,60,20240412,210000,18.89,18.89,18.89,18.89,900,0
CCSO.US,60,20240412,220000,18.81,18.81,18.81,18.81,1899,0
CCSO.US,60,20240415,170000,18.69,18.69,18.69,18.69,246,0
CCSO.US,60,20240415,180000,18.6401,18.6401,18.6401,18.6401,1698,0
CCSO.US,60,20240415,200000,18.52,18.55,18.52,18.55,270,0
CCSO.US,60,20240416,160000,18.34,18.34,18.32,18.32,2205,0
CCSO.US,60,20240416,170000,18.2592,18.2592,18.16,18.19,11125,0
CCSO.US,60,20240416,190000,18.33,18.33,18.33,18.33,100,0
CCSO.US,60,20240417,160000,18.49,18.49,18.49,18.49,218,0
CCSO.US,60,20240417,170000,18.44,18.44,18.4054,18.4054,1195,0
CCSO.US,60,20240417,220000,18.31,18.31,18.31,18.31,100,0
CCSO.US,60,20240418,160000,18.25,18.27,18.23,18.23,8900,0
CCSO.US,60,20240418,170000,18.305,18.37,18.305,18.37,598,0
CCSO.US,60,20240418,180000,18.38,18.38,18.38,18.38,100,0
CCSO.US,60,20240418,220000,18.21,18.21,18.21,18.21,100,0
CCSO.US,60,20240419,170000,18.24,18.24,18.16,18.16,250,0
CCSO.US,60,20240419,190000,18.12,18.12,18.12,18.12,100,0
CCSO.US,60,20240419,210000,18,18,18,18,150,0
CCSO.US,60,20240422,160000,18.03,18.03,17.97,17.97,1942,0
CCSO.US,60,20240422,170000,18.04,18.04,18.04,18.04,100,0
CCSO.US,60,20240422,180000,17.87,17.87,17.87,17.87,474,0
CCSO.US,60,20240422,220000,18.16,18.16,18.16,18.16,100,0
CCSO.US,60,20240423,170000,18.23,18.23,18.19,18.19,1226,0
CCSO.US,60,20240423,190000,18.1358,18.1358,18.1358,18.1358,135,0
CCSO.US,60,20240423,220000,18.2,18.2,18.2,18.2,100,0
CCSO.US,60,20240424,170000,18.35,18.35,18.35,18.35,427,0
CCSO.US,60,20240424,190000,18.05,18.06,18.05,18.06,1390,0
CCSO.US,60,20240424,200000,18.0978,18.21,18.0978,18.21,598,0
CCSO.US,60,20240425,170000,17.95,17.95,17.95,17.95,100,0
CCSO.US,60,20240425,220000,18.27,18.31,18.27,18.31,600,0
CCSO.US,60,20240426,160000,18.51,18.51,18.5099,18.51,370,0
CCSO.US,60,20240426,170000,18.59,18.59,18.55,18.55,1202,0
CCSO.US,60,20240426,190000,18.63,18.63,18.63,18.63,100,0
CCSO.US,60,20240429,160000,18.86,18.87,18.86,18.87,282,0
CCSO.US,60,20240429,170000,18.88,18.9,18.88,18.9,236,0
CCSO.US,60,20240429,220000,18.92,19.03,18.92,19.02,1000,0
CCSO.US,60,20240430,170000,18.87,18.87,18.87,18.87,508,0
CCSO.US,60,20240501,190000,18.67,18.67,18.5,18.5,683,0
CCSO.US,60,20240501,200000,18.47,18.47,18.47,18.47,100,0
CCSO.US,60,20240501,210000,18.54,18.54,18.54,18.54,100,0
CCSO.US,60,20240501,220000,18.65,18.65,18.65,18.65,100,0
CCSO.US,60,20240502,170000,18.5999,18.65,18.56,18.65,1906,0
CCSO.US,60,20240502,190000,18.73,18.73,18.73,18.73,1500,0
CCSO.US,60,20240502,200000,18.8,18.8,18.8,18.8,100,0
CCSO.US,60,20240503,160000,19.1,19.14,19.1,19.14,1330,0
CCSO.US,60,20240503,170000,18.96,19,18.95,19,2920,0
CCSO.US,60,20240503,190000,18.95,18.95,18.95,18.95,940,0
CCSO.US,60,20240503,210000,19.03,19.03,19.03,19.03,100,0
CCSO.US,60,20240503,220000,19.0183,19.0183,19.0183,19.0183,1723,0
CCSO.US,60,20240506,160000,19.37,19.37,19.36,19.36,598,0
CCSO.US,60,20240506,170000,19.35,19.4,19.35,19.4,309,0
CCSO.US,60,20240506,200000,19.35,19.35,19.35,19.35,343,0
CCSO.US,60,20240506,210000,19.4,19.4,19.4,19.4,100,0
CCSO.US,60,20240507,170000,19.28,19.37,19.28,19.37,605,0
CCSO.US,60,20240507,190000,19.32,19.32,19.32,19.32,100,0
CCSO.US,60,20240507,210000,19.2194,19.2194,19.2194,19.2194,438,0
CCSO.US,60,20240507,220000,19.28,19.28,19.28,19.28,100,0
CCSO.US,60,20240508,170000,19.07,19.07,19.07,19.07,100,0
CCSO.US,60,20240508,220000,19.05,19.05,19.05,19.05,100,0
CCSO.US,60,20240509,200000,19.24,19.24,19.24,19.24,100,0
CCSO.US,60,20240509,220000,19.31,19.31,19.31,19.31,100,0
CCSO.US,60,20240510,160000,19.35,19.35,19.35,19.35,196,0
CCSO.US,60,20240510,170000,19.36,19.36,19.36,19.36,100,0
CCSO.US,60,20240510,210000,19.18,19.19,19.18,19.19,565,0
CCSO.US,60,20240513,220000,19.2,19.29,19.2,19.29,300,0
CCSO.US,60,20240514,170000,19.55,19.55,19.4899,19.49,1644,0
CCSO.US,60,20240514,190000,19.48,19.48,19.48,19.48,559,0
CCSO.US,60,20240515,170000,19.356,19.356,19.356,19.356,103,0
CCSO.US,60,20240515,190000,19.52,19.52,19.5199,19.5199,2382,0
CCSO.US,60,20240516,170000,19.42,19.42,19.42,19.42,313,0
CCSO.US,60,20240516,200000,19.33,19.33,19.33,19.33,140,0
CCSO.US,60,20240517,160000,19.32,19.32,19.3199,19.3199,406,0
CCSO.US,60,20240517,200000,19.38,19.38,19.38,19.38,286,0
CCSO.US,60,20240520,160000,19.54,19.54,19.54,19.54,106,0
CCSO.US,60,20240520,170000,19.39,19.39,19.385,19.385,227,0
CCSO.US,60,20240520,200000,19.45,19.45,19.37,19.43,1416,0
CCSO.US,60,20240520,220000,19.41,19.41,19.41,19.41,104,0
CCSO.US,60,20240521,160000,19.34,19.35,19.34,19.35,1500,0
CCSO.US,60,20240522,170000,19.405,19.5,19.405,19.5,768,0
CCSO.US,60,20240522,190000,19.52,19.52,19.52,19.52,100,0
CCSO.US,60,20240523,170000,19.31,19.31,19.27,19.2999,2977,0
CCSO.US,60,20240523,190000,19.38,19.38,19.38,19.38,843,0
