<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPBX.US,60,20250115,160000,25.08,25.08,25.05,25.05,4982,0
SPBX.US,60,20250115,180000,25.07,25.07,25.07,25.07,100,0
SPBX.US,60,20250115,210000,25.13,25.14,25.1105,25.1105,1710,0
SPBX.US,60,20250116,190000,25.14,25.14,25.14,25.14,1666,0
SPBX.US,60,20250116,200000,25.12,25.12,25.08,25.08,1249,0
SPBX.US,60,20250116,210000,25.12,25.14,25.12,25.14,2500,0
SPBX.US,60,20250116,220000,25.105,25.105,25.105,25.105,100,0
SPBX.US,60,20250117,170000,25.22,25.24,25.22,25.24,200,0
SPBX.US,60,20250117,190000,25.26,25.26,25.26,25.26,197,0
SPBX.US,60,20250121,160000,25.2379,25.2379,25.2379,25.2379,400,0
SPBX.US,60,20250121,180000,25.255,25.255,25.255,25.255,791,0
SPBX.US,60,20250121,190000,25.29,25.29,25.29,25.29,500,0
SPBX.US,60,20250122,200000,25.3998,25.3998,25.35,25.37,3000,0
SPBX.US,60,20250122,220000,25.38,25.38,25.38,25.38,800,0
SPBX.US,60,20250123,180000,25.365,25.365,25.365,25.365,810,0
SPBX.US,60,20250123,190000,25.4,25.4,25.381,25.381,1600,0
SPBX.US,60,20250123,200000,25.41,25.42,25.41,25.42,1967,0
SPBX.US,60,20250123,220000,25.41,25.41,25.3862,25.3862,800,0
SPBX.US,60,20250124,160000,25.46,25.46,25.4599,25.4599,400,0
SPBX.US,60,20250124,180000,25.415,25.415,25.415,25.415,580,0
SPBX.US,60,20250124,200000,25.44,25.44,25.42,25.42,64327,0
SPBX.US,60,20250124,210000,25.43,25.43,25.43,25.43,1947,0
SPBX.US,60,20250124,220000,25.42,25.42,25.4108,25.42,414,0
SPBX.US,60,20250127,170000,25.2447,25.2447,25.2447,25.2447,1000,0
SPBX.US,60,20250127,180000,25.2067,25.2067,25.2067,25.2067,990,0
SPBX.US,60,20250128,200000,25.36,25.36,25.345,25.345,4511,0
SPBX.US,60,20250128,220000,25.39,25.39,25.38,25.3899,4700,0
SPBX.US,60,20250129,190000,25.32,25.32,25.32,25.32,315,0
SPBX.US,60,20250129,200000,25.33,25.34,25.3015,25.34,2700,0
SPBX.US,60,20250129,210000,25.3,25.36,25.2945,25.36,7930,0
SPBX.US,60,20250129,220000,25.33,25.37,25.304,25.37,8122,0
SPBX.US,60,20250130,180000,25.3272,25.36,25.3272,25.3272,1572,0
SPBX.US,60,20250130,190000,25.3342,25.3342,25.3342,25.3342,400,0
SPBX.US,60,20250130,200000,25.38,25.38,25.38,25.38,100,0
SPBX.US,60,20250130,210000,25.41,25.41,25.41,25.41,1400,0
