<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UAA.US,60,20240411,160000,6.78,6.925,6.71,6.75,805855,0
UAA.US,60,20240411,170000,6.755,6.77,6.67,6.6745,640816,0
UAA.US,60,20240411,180000,6.67,6.69,6.65,6.685,664928,0
UAA.US,60,20240411,190000,6.69,6.7,6.66,6.6767,500697,0
UAA.US,60,20240411,200000,6.675,6.71,6.64,6.645,580730,0
UAA.US,60,20240411,210000,6.64,6.68,6.64,6.66,840602,0
UAA.US,60,20240411,220000,6.66,6.7,6.64,6.64,2875015,0
UAA.US,60,20240412,160000,6.59,6.63,6.53,6.56,579036,0
UAA.US,60,20240412,170000,6.555,6.62,6.515,6.55,875291,0
UAA.US,60,20240412,180000,6.555,6.6,6.55,6.585,563513,0
UAA.US,60,20240412,190000,6.585,6.5895,6.53,6.535,354039,0
UAA.US,60,20240412,200000,6.535,6.56,6.51,6.555,690644,0
UAA.US,60,20240412,210000,6.555,6.56,6.53,6.545,564509,0
UAA.US,60,20240412,220000,6.54,6.57,6.53,6.56,2247920,0
UAA.US,60,20240415,160000,6.59,6.68,6.59,6.68,440089,0
UAA.US,60,20240415,170000,6.68,6.68,6.564,6.57,548160,0
UAA.US,60,20240415,180000,6.57,6.62,6.56,6.615,498910,0
UAA.US,60,20240415,190000,6.61,6.63,6.59,6.615,499872,0
UAA.US,60,20240415,200000,6.615,6.62,6.54,6.59,659833,0
UAA.US,60,20240415,210000,6.585,6.59,6.535,6.55,617085,0
UAA.US,60,20240415,220000,6.56,6.56,6.51,6.56,2034221,0
UAA.US,60,20240416,160000,6.48,6.55,6.43,6.48,305249,0
UAA.US,60,20240416,170000,6.48,6.49,6.44,6.445,596917,0
UAA.US,60,20240416,180000,6.445,6.555,6.44,6.525,746813,0
UAA.US,60,20240416,190000,6.529,6.56,6.52,6.56,381605,0
UAA.US,60,20240416,200000,6.555,6.61,6.545,6.58,925343,0
UAA.US,60,20240416,210000,6.575,6.61,6.55,6.565,436158,0
UAA.US,60,20240416,220000,6.565,6.61,6.55,6.6,2878357,0
UAA.US,60,20240417,160000,6.66,6.675,6.59,6.59,289245,0
UAA.US,60,20240417,170000,6.58,6.58,6.53,6.55,383148,0
UAA.US,60,20240417,180000,6.5425,6.59,6.54,6.585,249558,0
UAA.US,60,20240417,190000,6.585,6.6,6.56,6.58,202766,0
UAA.US,60,20240417,200000,6.59,6.605,6.57,6.585,291198,0
UAA.US,60,20240417,210000,6.585,6.62,6.57,6.575,332709,0
UAA.US,60,20240417,220000,6.575,6.59,6.54,6.55,1626393,0
