<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MA.US,60,20240411,160000,468.28,469.38,465.29,466.06,112343,0
MA.US,60,20240411,170000,466.06,466.63,464.19,464.79,188750,0
MA.US,60,20240411,180000,464.97,467.35,464.76,467.095,108894,0
MA.US,60,20240411,190000,467.055,467.45,466.075,466.46,67026,0
MA.US,60,20240411,200000,466.46,468.73,466.27,468.4,73815,0
MA.US,60,20240411,210000,468.54,469.99,468.4483,469.925,69486,0
MA.US,60,20240411,220000,470,470.3482,467.79,468.31,629624,0
MA.US,60,20240412,160000,466,469.52,466,467.71,116972,0
MA.US,60,20240412,170000,467.51,468.24,465.37,465.99,136750,0
MA.US,60,20240412,180000,466.03,467.96,465.86,466.85,92166,0
MA.US,60,20240412,190000,466.72,466.8,463.67,463.9,83964,0
MA.US,60,20240412,200000,463.885,464.51,462.11,463.88,73615,0
MA.US,60,20240412,210000,463.81,465.04,463.23,463.95,118042,0
MA.US,60,20240412,220000,463.88,465.67,463.01,465.38,487051,0
MA.US,60,20240415,160000,470.24,471,467.07,468.915,117680,0
MA.US,60,20240415,170000,469.06,469.105,465.77,466.165,98329,0
MA.US,60,20240415,180000,466.19,466.83,465.6156,466.575,69195,0
MA.US,60,20240415,190000,466.46,467.09,464.29,465.1,59927,0
MA.US,60,20240415,200000,465.02,465.319,459.12,460.3075,127508,0
MA.US,60,20240415,210000,460.065,460.84,458.745,459.85,101308,0
MA.US,60,20240415,220000,459.89,460.14,458.43,459.79,593844,0
MA.US,60,20240416,160000,460,463.38,459.73,462.62,93439,0
MA.US,60,20240416,170000,462.145,462.43,459.58,460.89,121147,0
MA.US,60,20240416,180000,461.06,462.9,460.02,461.84,125923,0
MA.US,60,20240416,190000,461.81,462.9,461.2391,461.83,63609,0
MA.US,60,20240416,200000,461.545,461.545,459.33,460.4,55268,0
MA.US,60,20240416,210000,460.455,462.42,459,461.98,76452,0
MA.US,60,20240416,220000,461.985,462.41,459.28,459.82,440115,0
MA.US,60,20240417,160000,462.77,463.41,461.39,462.58,93290,0
MA.US,60,20240417,170000,462.41,462.74,460.2,460.79,130940,0
MA.US,60,20240417,180000,461.05,461.82,459.2,460.15,94905,0
MA.US,60,20240417,190000,460.02,460.21,458.15,458.95,84758,0
MA.US,60,20240417,200000,458.905,461.08,458.75,460.8813,66575,0
MA.US,60,20240417,210000,460.695,462.3699,459.78,459.83,55531,0
MA.US,60,20240417,220000,459.855,460.87,458.815,460.16,463292,0
MA.US,60,20240418,160000,460.5,461.91,458.475,460,92538,0
MA.US,60,20240418,170000,460,460.24,458.11,459.54,104143,0
MA.US,60,20240418,180000,459.63,460.385,458.74,459.51,94734,0
MA.US,60,20240418,190000,459.525,459.77,455.95,456.5,126968,0
MA.US,60,20240418,200000,456.39,456.66,454.34,455.42,74473,0
MA.US,60,20240418,210000,455.27,456.16,453.87,453.905,91628,0
MA.US,60,20240418,220000,453.94,455.89,453.8,454.7,523873,0
MA.US,60,20240419,160000,458.89,459.86,454.14,455.37,272211,0
MA.US,60,20240419,170000,455.36,456.495,453.84,455.12,179451,0
MA.US,60,20240419,180000,455.01,455.43,453.88,454.52,102382,0
MA.US,60,20240419,190000,454.505,455.285,452.65,454.21,90568,0
MA.US,60,20240419,200000,454.31,456.13,453.805,455.36,70445,0
MA.US,60,20240419,210000,455.15,455.25,452.585,453.58,132099,0
MA.US,60,20240419,220000,453.42,455.57,453.13,455.49,335212,0
MA.US,60,20240422,160000,457.5,458,455.75,457.62,164683,0
MA.US,60,20240422,170000,457.56,458.1099,455.86,455.95,199597,0
MA.US,60,20240422,180000,456.09,456.54,455.13,455.99,152280,0
MA.US,60,20240422,190000,456.15,457.83,455.58,457.83,90673,0
MA.US,60,20240422,200000,457.74,460.4,457.49,459.71,116326,0
MA.US,60,20240422,210000,459.715,460.74,458.9611,459.21,70439,0
MA.US,60,20240422,220000,459.14,459.16,456.02,456.75,490667,0
MA.US,60,20240423,160000,458.48,460.075,457.31,459.36,103429,0
MA.US,60,20240423,170000,459.6875,462.01,458.76,461.9892,147220,0
MA.US,60,20240423,180000,461.93,461.9399,459.9082,460.62,96550,0
MA.US,60,20240423,190000,460.81,462.76,460.76,462.34,95730,0
MA.US,60,20240423,200000,462.2,462.78,460.99,462.77,96606,0
MA.US,60,20240423,210000,462.7,462.8,461.7537,461.93,81467,0
MA.US,60,20240423,220000,461.985,462.98,461.44,462.695,502119,0
MA.US,60,20240424,160000,465.29,468.15,462.5,462.5,342124,0
MA.US,60,20240424,170000,462.56,465.03,461.25,461.64,230313,0
MA.US,60,20240424,180000,461.6,463.14,460.35,461.66,160568,0
MA.US,60,20240424,190000,461.59,462.54,460.82,462.5,111770,0
MA.US,60,20240424,200000,462.4,464.325,461.985,464.2025,92521,0
MA.US,60,20240424,210000,464.17,464.25,462.53,462.665,102908,0
MA.US,60,20240424,220000,462.6,463.87,462.16,462.5,1646128,0
MA.US,60,20240425,160000,460.94,461.465,458.86,459.225,180249,0
MA.US,60,20240425,170000,459.04,459.31,456.72,457.54,147233,0
MA.US,60,20240425,180000,457.52,461.02,457.52,460.895,187977,0
MA.US,60,20240425,190000,460.8,462.815,460.605,462.145,86270,0
MA.US,60,20240425,200000,462.085,464,460.85,463.9731,86561,0
MA.US,60,20240425,210000,463.855,463.855,461.92,462.6176,83357,0
MA.US,60,20240425,220000,462.49,463.22,461.46,462.11,459446,0
MA.US,60,20240426,160000,462.91,464.05,461.23,462.88,101491,0
MA.US,60,20240426,170000,463.39,464.82,463.15,463.755,110519,0
MA.US,60,20240426,180000,463.78,464.205,462,462.92,106623,0
MA.US,60,20240426,190000,463.01,463.46,462.11,463.46,122647,0
MA.US,60,20240426,200000,463.47,463.55,462.69,462.69,127452,0
MA.US,60,20240426,210000,462.705,462.95,461.4,462.11,164615,0
MA.US,60,20240426,220000,462.15,462.79,460.94,462.42,553686,0
MA.US,60,20240429,160000,460.95,461.59,458.919,460.615,161641,0
MA.US,60,20240429,170000,460.925,461.01,456.69,457.64,222899,0
MA.US,60,20240429,180000,457.65,457.77,455.9,456.87,128993,0
