<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FICO.US,60,20240411,160000,1187.13,1189.88,1180.25,1183.63,7958,0
FICO.US,60,20240411,170000,1182.83,1187.865,1180.62,1186.77,3770,0
FICO.US,60,20240411,180000,1188.1045,1196.02,1186.44,1196.02,2269,0
FICO.US,60,20240411,190000,1195.825,1195.825,1190,1191.62,3837,0
FICO.US,60,20240411,200000,1191.69,1199.67,1191.68,1193.89,4108,0
FICO.US,60,20240411,210000,1194.61,1195.78,1192.985,1192.985,1300,0
FICO.US,60,20240411,220000,1193.86,1197.58,1190.87,1191.68,18522,0
FICO.US,60,20240412,160000,1168.89,1182.39,1168.89,1180.485,2969,0
FICO.US,60,20240412,170000,1183.5,1183.5,1172.9,1174.3,2991,0
FICO.US,60,20240412,180000,1177.99,1183.735,1177.29,1177.29,1300,0
FICO.US,60,20240412,190000,1176.185,1176.185,1170.61,1171.69,7313,0
FICO.US,60,20240412,200000,1170.38,1176.27,1166.5,1174.28,3197,0
FICO.US,60,20240412,210000,1168.13,1172.6,1166.625,1168.43,2946,0
FICO.US,60,20240412,220000,1169.82,1175.78,1168.63,1175.61,27332,0
FICO.US,60,20240415,160000,1185.21,1197.84,1185.21,1187.82,2532,0
FICO.US,60,20240415,170000,1184.42,1184.42,1165.94,1165.94,3881,0
FICO.US,60,20240415,180000,1161.11,1174.87,1161.11,1171.41,2050,0
FICO.US,60,20240415,190000,1174.59,1175.28,1168.48,1171.28,1876,0
FICO.US,60,20240415,200000,1169.87,1171.95,1159.16,1162.65,3678,0
FICO.US,60,20240415,210000,1161.19,1163.68,1151.78,1156.56,7790,0
FICO.US,60,20240415,220000,1157.14,1157.14,1145.62,1150.52,56916,0
FICO.US,60,20240416,160000,1151.27,1151.8824,1138.84,1144,3767,0
FICO.US,60,20240416,170000,1146.55,1146.55,1136.52,1137.985,7920,0
FICO.US,60,20240416,180000,1137.75,1141.73,1135.47,1135.74,3577,0
FICO.US,60,20240416,190000,1135.02,1140.55,1134.91,1139,4694,0
FICO.US,60,20240416,200000,1135.59,1136.25,1130.855,1133.64,5841,0
FICO.US,60,20240416,210000,1133.25,1146.12,1133.25,1145.91,4684,0
FICO.US,60,20240416,220000,1145.02,1153.92,1142.3,1152.7,33112,0
FICO.US,60,20240417,160000,1157.25,1164.6,1155.68,1158.95,4394,0
FICO.US,60,20240417,170000,1158.98,1161.525,1154.695,1156.12,12514,0
FICO.US,60,20240417,180000,1158.22,1158.22,1152.47,1156.68,6205,0
FICO.US,60,20240417,190000,1157.005,1158.27,1144.87,1147.885,8145,0
FICO.US,60,20240417,200000,1148.415,1159.235,1148.415,1159.235,4514,0
FICO.US,60,20240417,210000,1159.67,1169.92,1158.97,1162.27,5122,0
