<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JNJ.US,60,20240411,160000,150.8,150.87,149.28,149.53,519974,0
JNJ.US,60,20240411,170000,149.52,149.52,148.39,148.74,653539,0
JNJ.US,60,20240411,180000,148.74,149.17,148.6271,149.0361,404574,0
JNJ.US,60,20240411,190000,149.05,149.14,148.73,148.85,514315,0
JNJ.US,60,20240411,200000,148.85,149.41,148.85,149.35,630690,0
JNJ.US,60,20240411,210000,149.3426,149.58,148.98,149.1,727715,0
JNJ.US,60,20240411,220000,149.11,149.37,148.66,148.79,2287834,0
JNJ.US,60,20240412,160000,148.06,149.065,147.6,148.485,480473,0
JNJ.US,60,20240412,170000,148.47,148.73,147.86,147.966,527922,0
JNJ.US,60,20240412,180000,147.97,148.588,147.94,148.43,451218,0
JNJ.US,60,20240412,190000,148.43,148.43,147.43,147.43,361379,0
JNJ.US,60,20240412,200000,147.43,147.97,147.18,147.895,470895,0
JNJ.US,60,20240412,210000,147.89,148.19,147.64,147.66,598241,0
JNJ.US,60,20240412,220000,147.665,147.665,147.15,147.52,1992057,0
JNJ.US,60,20240415,160000,148.37,149.47,148.05,149.465,506321,0
JNJ.US,60,20240415,170000,149.47,149.49,148.45,148.5,650283,0
JNJ.US,60,20240415,180000,148.51,149.18,148.46,148.89,563242,0
JNJ.US,60,20240415,190000,148.88,148.96,148.26,148.42,370502,0
JNJ.US,60,20240415,200000,148.41,148.54,147.93,148.17,427127,0
JNJ.US,60,20240415,210000,148.16,148.2148,147.43,147.65,537298,0
JNJ.US,60,20240415,220000,147.66,147.86,147.37,147.59,2872707,0
JNJ.US,60,20240416,160000,145.01,146.25,143.67,143.96,1306117,0
JNJ.US,60,20240416,170000,143.96,146.24,143.86,145.46,1231067,0
JNJ.US,60,20240416,180000,145.41,145.45,144.28,145.0191,772315,0
JNJ.US,60,20240416,190000,145,145.05,143.55,143.775,889282,0
JNJ.US,60,20240416,200000,143.78,145.16,143.39,145.06,996950,0
JNJ.US,60,20240416,210000,145.08,145.54,144.55,145.2,567638,0
JNJ.US,60,20240416,220000,145.21,145.23,144.38,144.45,3272319,0
JNJ.US,60,20240417,160000,145,145.41,144.01,144.4,610441,0
JNJ.US,60,20240417,170000,144.42,144.72,143.66,143.66,1019537,0
JNJ.US,60,20240417,180000,143.6697,144.39,143.55,143.785,1412076,0
JNJ.US,60,20240417,190000,143.77,144.45,143.69,144.25,499505,0
JNJ.US,60,20240417,200000,144.27,144.39,144.0143,144.258,509184,0
JNJ.US,60,20240417,210000,144.26,144.6403,144.09,144.18,514786,0
JNJ.US,60,20240417,220000,144.17,144.88,144.02,144.77,2374602,0
JNJ.US,60,20240418,160000,144.98,145.1,143.13,144.33,809430,0
JNJ.US,60,20240418,170000,144.41,145.6,144.24,145.3267,698111,0
JNJ.US,60,20240418,180000,145.35,145.65,144.43,144.685,528322,0
JNJ.US,60,20240418,190000,144.685,144.92,144.42,144.47,597235,0
JNJ.US,60,20240418,200000,144.46,144.795,144.31,144.47,453520,0
JNJ.US,60,20240418,210000,144.47,144.9117,144.4577,144.82,420142,0
JNJ.US,60,20240418,220000,144.82,145.8,144.8,145.74,3294766,0
JNJ.US,60,20240419,160000,146.15,146.2,144.55,146.08,864766,0
JNJ.US,60,20240419,170000,146.09,146.76,145.71,146.375,484615,0
JNJ.US,60,20240419,180000,146.38,146.8199,146.17,146.72,445627,0
JNJ.US,60,20240419,190000,146.71,147.12,146.61,147.01,492955,0
JNJ.US,60,20240419,200000,147.01,147.24,146.8,147.1329,386247,0
JNJ.US,60,20240419,210000,147.125,147.65,146.94,147.46,726293,0
JNJ.US,60,20240419,220000,147.47,148.13,147.31,147.91,1610314,0
JNJ.US,60,20240422,160000,148.51,148.51,147.3,148.01,608407,0
JNJ.US,60,20240422,170000,147.995,149.35,147.93,149.21,712180,0
JNJ.US,60,20240422,180000,149.19,149.35,148.78,149.19,490925,0
JNJ.US,60,20240422,190000,149.18,149.79,149.16,149.7329,611720,0
JNJ.US,60,20240422,200000,149.72,150.0353,149.53,150.01,540260,0
JNJ.US,60,20240422,210000,150.01,150.27,149.74,149.825,808187,0
JNJ.US,60,20240422,220000,149.82,149.83,148.66,149.12,2787937,0
